Name,Description,Price,Link
SL2.1S,brain of the project,$1.13,https://www.lcsc.com/product-detail/C2684433.html
USB A,port,$0.64,https://www.lcsc.com/product-detail/USB-Connectors_SHOU-HAN-10-0-QHHTZB6-3_C668591.html
USB C,output port,$0.50,https://www.digikey.co.uk/en/products/detail/gct/USB4135-GF-A/16036137?srsltid=AfmBOopO6rvRL-5B0j6B9AOzoVrluBsxuhPj3SK-UoMcAsltBcus_N4W
USB C,input port,$0.42,https://www.lcsc.com/product-detail/USB-Connectors_HCTL-HC-TYPE-C-16P-01A_C2894897.html
resisitors,0603 5.1k,$0.95,https://www.aliexpress.com/item/1005008650089395.html?spm=a2g0o.productlist.main.4.3d50gfABgfABFP&aem_p4p_detail=202606201834052769229634497560001644318&algo_pvid=dc3de7ae-ab95-4f22-a4de-689ae5ef90d7&algo_exp_id=dc3de7ae-ab95-4f22-a4de-689ae5ef90d7-3&pdp_ext_f=%7B%22order%22%3A%22566%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.95%210.95%21%21%210.95%210.95%21%40211b6c1717820056450495078e4666%2112000046095616880%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=DmfHT1SsyLud&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008650089395%7C_p_origin_prod%3A&search_p4p_id=202606201834052769229634497560001644318_1
capacitor,0603 1uf,$1.96,https://www.aliexpress.com/item/1005012364450156.html?spm=a2g0o.productlist.main.5.4c13285druMiap&algo_pvid=17b15a64-090c-48d5-a4b9-50155dd8d2db&algo_exp_id=17b15a64-090c-48d5-a4b9-50155dd8d2db-4&pdp_ext_f=%7B%22order%22%3A%22144%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.45%212.44%21%21%2116.55%2116.48%21%40211b441e17820057123506895ecf56%2112000058305516169%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895%3BpisId%3A5000000206380079&curPageLogUid=RfG4jJsLkYsm&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012364450156%7C_p_origin_prod%3A
capcitor,0603 100nf,$1.00,https://www.aliexpress.com/item/1005007137284660.html?spm=a2g0o.productlist.main.4.36edkCx4kCx40W&aem_p4p_detail=202606201837224413164189274720001995919&algo_pvid=e78c9f73-68b6-47af-8353-7e7723651c2e&algo_exp_id=e78c9f73-68b6-47af-8353-7e7723651c2e-3&pdp_ext_f=%7B%22order%22%3A%22243%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.24%210.99%21%21%218.40%216.72%21%402103894417820058425486232e997f%2112000039535543114%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=msyKOU7FSnle&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007137284660%7C_p_origin_prod%3A&search_p4p_id=202606201837224413164189274720001995919_1
PCB fabrication,jlcpcb,$4,https://www.jlcpcb.com
PCB shipping,jlcpcb,$3.30,https://www.jlcpcb.com
Case,case for the project,N/A,N/A
Diode,SMA SS14,$1.06,https://www.aliexpress.com/item/1005011924308998.html?spm=a2g0o.productlist.main.8.60ee5fU05fU0kH&aem_p4p_detail=202606201839046217897351301560001882142&algo_pvid=10d39469-4281-4301-9348-3a37011f2e60&algo_exp_id=10d39469-4281-4301-9348-3a37011f2e60-7&pdp_ext_f=%7B%22order%22%3A%2230%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.88%210.88%21%21%215.93%215.93%21%402103867617820059443295880e66d6%2112000057043294913%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=1mOToTI2HX54&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011924308998%7C_p_origin_prod%3A&search_p4p_id=202606201839046217897351301560001882142_2
crystal 12pF,12MHz crystal HC-49U,$2.06,https://www.aliexpress.com/item/1005008834295348.html?spm=a2g0o.productlist.main.3.6adax3NEx3NEqf&algo_pvid=7fafc987-e5b8-420c-b287-fa85bd94367d&algo_exp_id=7fafc987-e5b8-420c-b287-fa85bd94367d-2&pdp_ext_f=%7B%22order%22%3A%2264%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.04%212.04%21%21%212.04%212.04%21%40211b653717820060422987247e4906%2112000046877807369%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af52ab060%3Bm03_new_user%3A-29895&curPageLogUid=J1IGPIlhDi2U&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008834295348%7C_p_origin_prod%3A
Cost,Total cost,$17.02,N/A


